,fips,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,actuals.newDeaths,actuals.vaccinesAdministered,actuals.vaccinationsAdditionalDose,actuals.hospitalBeds.weeklyCovidAdmissions,Class
fips,1.0,-0.03417685173501837,-0.135185199742036,0.029610351852230855,-0.03497061618488121,0.0040522539299918114,0.14581760602604688,0.10616481567572086,-0.026466544560353678,0.11954059935737939,0.025351021018193327,-0.0710260999348108,0.048806699479337246,0.10565438894420297,0.14749967837420955,0.16081167259647441,-0.03814625757231971,0.16114902100714748,0.06789466993534578,-0.07077581680260867,
actuals.cases,-0.03417685173501837,1.0,0.8559722133350096,0.7969385790276243,0.42232588428071244,0.2783039331024999,0.7582518952191835,0.7381565875124219,0.505141818152268,0.8030345872099747,0.7546515069060601,0.44026883918755055,0.1828618207191377,0.7591342328863384,0.677496299809005,0.6648304305132269,0.06150023742858413,0.6951811223039963,0.3520735139817008,0.46742174027357414,
actuals.deaths,-0.135185199742036,0.8559722133350096,1.0,0.6957949548877936,0.5774418588833716,0.4150503994212562,0.823463569733418,0.8477093141958124,0.3291754198926504,0.8057293588672052,0.6608553810652228,0.24147921327140492,0.09314622947567382,0.8164367223401915,0.7927637434081777,0.7730493119117909,0.013243172893452929,0.7682817744295716,0.1695323324558463,0.28206031220249916,
actuals.positiveTests,0.029610351852230855,0.7969385790276243,0.6957949548877936,1.0,0.5945601672913047,0.22318131196767546,0.5482634456002675,0.5720739405004508,0.4758576547444996,0.5705070170453629,0.5157069112825011,0.32832668136862264,0.2141114368727272,0.8217081765437299,0.7423402120945455,0.7498106607470195,0.03753381500247426,0.7901324106826791,0.5324316943124022,0.431875809761349,
actuals.negativeTests,-0.03497061618488121,0.42232588428071244,0.5774418588833716,0.5945601672913047,1.0,0.5901202524925768,0.45292001304673657,0.5436865992392732,0.002593816911982741,0.2829159757074517,0.09899574688442903,-0.09605438307873909,0.08243920280587314,0.715271432090708,0.7366287496177274,0.7526116696622475,-0.08560389339266654,0.7599826393772989,0.38898673051358795,0.042726018773710614,
actuals.contactTracers,0.0040522539299918114,0.2783039331024999,0.4150503994212562,0.22318131196767546,0.5901202524925768,1.0,0.5270697281042926,0.45296100987407,-0.13894485596562683,0.39127734460826485,0.15831318736109937,-0.1612524749047543,-0.034670651314882894,0.5178726933595575,0.5695681968871597,0.5753170698292273,-0.10110896035053807,0.5435558291785815,0.040606288195883244,-0.10353714147234135,
actuals.hospitalBeds.capacity,0.14581760602604688,0.7582518952191835,0.823463569733418,0.5482634456002675,0.45292001304673657,0.5270697281042926,1.0,0.9408639575917652,0.31610251411911977,0.9299607803453808,0.7987839448696578,0.30548607973969355,0.022332010912017506,0.7416019451442771,0.7537132668836697,0.7664240730335679,-0.06749461200840554,0.7154687151770915,-0.06483313742162954,0.25645698576992193,
actuals.hospitalBeds.currentUsageTotal,0.10616481567572086,0.7381565875124219,0.8477093141958124,0.5720739405004508,0.5436865992392732,0.45296100987407,0.9408639575917652,1.0,0.36021226149284113,0.8405778995945687,0.7845655574947205,0.32853074800490406,0.08326550342930018,0.7866854670724206,0.7860155867742317,0.7895082680788951,-0.019307673633172245,0.7635058006242837,-0.014891368551955183,0.29461673672777716,
actuals.hospitalBeds.currentUsageCovid,-0.026466544560353678,0.505141818152268,0.3291754198926504,0.4758576547444996,0.002593816911982741,-0.13894485596562683,0.31610251411911977,0.36021226149284113,1.0,0.4481708977354324,0.6397959949188218,0.9131616913677694,0.446167946232036,0.29509071663594866,0.20515988340063346,0.21266684616826548,0.1745686672770531,0.2432426477404366,0.19800674977866914,0.9600770256999341,
actuals.icuBeds.capacity,0.11954059935737939,0.8030345872099747,0.8057293588672052,0.5705070170453629,0.2829159757074517,0.39127734460826485,0.9299607803453808,0.8405778995945687,0.4481708977354324,1.0,0.8547461474886529,0.43789023561476226,0.10466607601133197,0.6751065049956168,0.6741398188776421,0.6888689870549234,0.012575415247529127,0.6273106607218815,-0.07016917107536626,0.3841057622571516,
