,fips,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,metrics.bedsWithCovidPatientsRatio,actuals.hospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.canCommunityLevel,Class
fips,1.0,-0.39442892818581693,-0.04796687513404826,-0.3721665467817917,-0.5361954408650602,-0.23101848305312217,-0.1356390913581144,-0.17800564675972894,0.10830490551625305,-0.33067290168556307,-0.003596027325671402,0.1767274228002535,-0.045012316499391726,-0.4098392374311493,-0.5200736426786938,-0.49728753063873865,0.18554915674439296,0.028252400011288443,-0.15474142889011436,4.945487267002089e-05,-0.03268768672071701,0.3634077649212045,0.06394329523195857,-0.4577615569304026,-0.2536132884218761,0.02198658462627918,-0.48194768294096063,0.07718432958511566,0.15002749508525196,-0.18549731516517307,-0.08143501379266804,0.028241596279638646,0.11842451618473261,0.08026937473396764,0.11711106891322827,0.21118495085187008,
actuals.cases,-0.39442892818581693,1.0,0.8445087625328132,0.960482001285128,0.4346459902968538,0.07213275964662573,0.7553526849335153,0.7003640610125422,0.22094027936941793,0.7048976311958728,0.5815359515070347,0.1897359514910954,0.3216488366301939,0.9094886822295594,0.8326355151898244,0.8241076885326163,0.23542420719866175,0.16802607372738398,-0.2698415769667309,0.14891646104776118,-0.007801385254726536,0.3499770838640282,0.07524094098269762,0.16424676055373966,-0.13742708442232343,0.0341227481075516,0.8650789023267345,0.07771663279207476,-0.08580688611786429,0.5850734972398982,0.38992987573715593,0.16804097132620296,0.12402319355623367,0.23564561150170726,0.006761090895841046,-0.07657546031438806,
actuals.deaths,-0.04796687513404826,0.8445087625328132,1.0,0.7589759156475354,0.39739098812784796,0.1729362052571219,0.6358582364162184,0.50298852690845,-0.12855262922202473,0.44792030730511384,0.3608503051327999,-0.09883687629229593,0.12813358550377685,0.8654503040428024,0.7508496273528864,0.766211309425612,0.06432605431168205,-0.06280936073077319,-0.015248713535779166,0.30718112470768316,-0.008039289011324417,0.22201433151911912,-0.14890563393880246,0.13322728360993202,-0.06469308405468797,-0.1416130237631909,0.8021658222106943,-0.14332395659357314,-0.13819166036462557,0.583821944990476,0.40141690494431587,-0.06279396528155382,-0.22308841160327145,-0.11652102011955182,-0.33925941394878306,-0.2735220337497475,
actuals.positiveTests,-0.3721665467817917,0.960482001285128,0.7589759156475354,1.0,0.24687605405339638,-0.16830129907566438,0.746545022272312,0.6858138663967622,0.2658396921759315,0.7050316299407059,0.6140841218008776,0.20698275520806358,0.37846209564729544,0.7818967540110525,0.6642118993890073,0.6497313382299796,0.3833331009497163,0.2561844297236025,-0.4025720051586959,0.18050595007197764,0.007679951997806996,0.41945510079050075,0.1472187815255395,0.09655214452520398,-0.18160985588836687,0.06483904034826386,0.719878455053322,0.14224273595144107,-0.15606275143451262,0.6103670122685563,0.46054468360180945,0.2561912495301633,0.17198152574233463,0.32179754279779277,0.1294648463479535,0.001320612030066277,
actuals.negativeTests,-0.5361954408650602,0.4346459902968538,0.39739098812784796,0.24687605405339638,1.0,0.8687364880794554,-0.0422773511184776,-0.004328185321066756,-0.14547863362063793,-0.017024605830564726,-0.2596456067144919,-0.28199559586093886,0.20571776677564046,0.7069505193475605,0.792746564732814,0.7959293246570696,-0.1671010083921561,0.10617413939645827,0.3226652051181821,0.24560219593165397,-0.025644805327958868,-0.47908157292714265,0.06234905893708748,0.7975702945847183,0.6190983836747326,-0.20109987848383326,0.7948823815475116,0.07277229457658763,0.19661322297924516,0.5081598329832051,0.34269975176192397,0.10620600094006173,-0.11892121708617238,-0.15351308752358805,-0.25645720749876116,-0.19844088791842837,
actuals.contactTracers,-0.23101848305312217,0.07213275964662573,0.1729362052571219,-0.16830129907566438,0.8687364880794554,1.0,-0.2747406213305556,-0.2203566488876915,-0.1686688808151228,-0.277894762089964,-0.43890813927280725,-0.26351432286062,0.06840174393887496,0.414295636778326,0.5565590103879201,0.5726206128939862,-0.2894490984853562,0.019512179107112494,0.45216227822574484,0.10189911551746224,-0.04818869166313774,-0.5466556988391225,0.02551101570874383,0.6397511397153428,0.5789796160126505,-0.22197563446612442,0.5202297620997223,0.04595386280075508,0.3533037065561193,0.1697079651853411,0.06372902584557424,0.01953930650742309,-0.11733543988061083,-0.22008097219005876,-0.2869725419466524,-0.14585680773285362,
actuals.hospitalBeds.capacity,-0.1356390913581144,0.7553526849335153,0.6358582364162184,0.746545022272312,-0.0422773511184776,-0.2747406213305556,1.0,0.9510330645404745,0.297283834449613,0.9039692965250841,0.877097276277286,0.47801662929232136,-0.005611402572964733,0.6009493106011302,0.5386937189756453,0.5290904566331276,0.06845511720081333,-0.17272420697125054,-0.31592210625202016,-0.09721337420047489,0.004301414434609783,0.6579623690753905,-0.12761871155472027,-0.4231571418342373,-0.6633028631643781,0.21539105373625156,0.5167233894818952,-0.12466674654517353,-0.1321563081245613,0.11967191209448337,-0.08072334640982774,-0.17271935389304255,0.12069404121874774,0.23687989686560385,-0.00405230652992793,-0.05690758713309155,
actuals.hospitalBeds.currentUsageTotal,-0.17800564675972894,0.7003640610125422,0.50298852690845,0.6858138663967622,-0.004328185321066756,-0.2203566488876915,0.9510330645404745,1.0,0.44122806643920987,0.9045479311033623,0.9045125281014226,0.5972618978284031,0.06572797304774342,0.5561202488258821,0.5219518412879499,0.5063664444205624,0.0892544716562636,-0.0982795296601136,-0.36665406062383094,-0.16215255437054613,0.013114918188637349,0.7016568230703636,-0.0275436231254489,-0.3913523032264551,-0.638230356195881,0.3091466873072469,0.4884187064857547,-0.02695458247318302,-0.01736092415812994,0.07797235246655446,-0.12553643720694732,-0.09827062819532209,0.27220520101535955,0.369753959274842,0.13488707264926098,0.03576092973674035,
actuals.hospitalBeds.currentUsageCovid,0.10830490551625305,0.22094027936941793,-0.12855262922202473,0.2658396921759315,-0.14547863362063793,-0.1686688808151228,0.297283834449613,0.44122806643920987,1.0,0.395309894161308,0.5930514455636744,0.9070283645056536,0.4891479201853194,0.04094715077663974,0.035943641904919124,0.004890437594083262,0.6332888647721727,0.5816862996495284,-0.7333313350907061,-0.20031507423921846,-0.04352880225529041,0.672586184303737,0.6645091482700598,-0.24924904075110849,-0.38396657191303724,0.3723795163495495,0.02530550984143886,0.6748984284197715,0.4162581241138601,-0.003415508308265367,-0.012680908649596243,0.5816824180399531,0.976696451435643,0.9659404350825272,0.8825711004893845,0.6929743611071084,
actuals.icuBeds.capacity,-0.33067290168556307,0.7048976311958728,0.44792030730511384,0.7050316299407059,-0.017024605830564726,-0.277894762089964,0.9039692965250841,0.9045479311033623,0.395309894161308,1.0,0.9155751527512319,0.5890268017869952,-0.002526549623706085,0.5437281361158736,0.5338015262118359,0.5123488405897254,0.020099953687604456,-0.17618865681832985,-0.33095130919991017,-0.19528532277192318,0.004592430535537566,0.6009511025928974,-0.1000414556738924,-0.415635457627642,-0.6840788118762733,0.27242948269986783,0.4842971882229033,-0.0998577088605144,-0.10589448333623001,0.016223233754355623,-0.19410385124295773,-0.17619034727628882,0.22982370461541143,0.31315665063176357,0.07737614527307257,-0.00027633934831155013,
actuals.icuBeds.currentUsageTotal,-0.003596027325671402,0.5815359515070347,0.3608503051327999,0.6140841218008776,-0.2596456067144919,-0.43890813927280725,0.877097276277286,0.9045125281014226,0.5930514455636744,0.9155751527512319,1.0,0.7814555311193809,0.05453667326739483,0.36800976001237806,0.31355743259006363,0.2928023959553979,0.19652467333513512,-0.06693332665338146,-0.5301109854154469,-0.23027947661462622,-0.0030470540253422413,0.8681356593204947,0.04664251852305115,-0.5991179145330696,-0.8135771026465678,0.37091288760038904,0.28018255645409545,0.04929538890329035,-0.0030610441477907035,-0.04579990772020189,-0.20668764382828933,-0.0669367138384544,0.43932157019597995,0.5039900860082009,0.2985643306276325,0.19177364279485354,
actuals.icuBeds.currentUsageCovid,0.1767274228002535,0.1897359514910954,-0.09883687629229593,0.20698275520806358,-0.28199559586093886,-0.26351432286062,0.47801662929232136,0.5972618978284031,0.9070283645056536,0.5890268017869952,0.7814555311193809,1.0,0.1955012272311049,0.025867289516618444,0.040309619524491205,0.013261534051658124,0.3620317812422644,0.2142743643925712,-0.6407915902092085,-0.3385040175403752,-0.04390974583647304,0.7950651758466394,0.3895679083677778,-0.5372604317231106,-0.6713863359977044,0.43908461277304844,-0.01178924990352481,0.40344609663190173,0.3477352254147993,-0.240074907059249,-0.31080753965781893,0.21426853701265752,0.8273166853485838,0.7959270663483591,0.6687406837383907,0.5614169109969637,
