,fips,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,actuals.newDeaths,actuals.vaccinesAdministered,actuals.vaccinationsAdditionalDose,actuals.hospitalBeds.weeklyCovidAdmissions,Class
fips,1.0,-0.13199371205474622,-0.2508972056607138,-0.10719651907566512,-0.12133622689202324,-0.04548010428839371,-0.2101953195227149,-0.20081429396075695,-0.04358352262789004,-0.18293885361005555,-0.21310017493043593,-0.03996883225187294,-0.011808465700883624,-0.10548598372795119,-0.09438753329857695,-0.08024757377163891,-0.03985698180718547,-0.0873501975622788,-0.06395965825114162,-0.012526732329829057,
actuals.cases,-0.13199371205474622,1.0,0.9111313926353976,0.8799414616720427,0.6582764432628595,0.5862990749475904,0.934100313943429,0.9153566633815992,0.6572219380678939,0.9175267274945219,0.9150775035961953,0.6486315455259904,0.254851946768255,0.8498348039592232,0.829528944194762,0.8086107332311276,0.25908156081087724,0.8295924982480537,0.4121256297890364,0.5868637294169511,
actuals.deaths,-0.2508972056607138,0.9111313926353976,1.0,0.794238019884555,0.5986103170986168,0.4355112720482528,0.9273099334316898,0.9176790889321318,0.5514982090914579,0.9130332162557834,0.9104288239031009,0.5313300924320477,0.17310289354353753,0.7889353090621074,0.753166019519912,0.7237523787698011,0.2436386271330984,0.7487948792182616,0.3848999233809949,0.4628376495944075,
actuals.positiveTests,-0.10719651907566512,0.8799414616720427,0.794238019884555,1.0,0.8338847155218359,0.6236375920282831,0.8189546380231663,0.8383075969384411,0.6123608853199054,0.8171605423184903,0.793558547584769,0.5547668811964271,0.21831255097295374,0.8564715689535313,0.8577608734072584,0.8462297277909929,0.20380000296454498,0.8542603399064702,0.3809653747127769,0.5302303433590234,
actuals.negativeTests,-0.12133622689202324,0.6582764432628595,0.5986103170986168,0.8338847155218359,1.0,0.617918286666326,0.6502453340653789,0.6941900245283674,0.441280430801036,0.6762960294458442,0.5975275433117035,0.35010133263465026,0.16815258546405343,0.8234442541959394,0.8500622301528092,0.8590983051966653,0.10449179380368988,0.8499493543469832,0.34540559341644056,0.33759561065514093,
actuals.contactTracers,-0.04548010428839371,0.5862990749475904,0.4355112720482528,0.6236375920282831,0.617918286666326,1.0,0.5370051744634817,0.5577456283217039,0.478643918739137,0.569828373815452,0.5444955540886843,0.4490875482303011,0.1609926902207058,0.7120023753357334,0.7425392060685202,0.7441447098207189,0.15560028999068656,0.735240896604177,0.24744745192141007,0.404990724789846,
actuals.hospitalBeds.capacity,-0.2101953195227149,0.934100313943429,0.9273099334316898,0.8189546380231663,0.6502453340653789,0.5370051744634817,1.0,0.9884902978839264,0.6837602377293623,0.9796732495437372,0.9723232477790184,0.6763421738276868,0.18816069268087582,0.8642327807866077,0.8549768585974828,0.8332933603107785,0.2626570939707072,0.8384907189276287,0.2800581701952439,0.5833546648752507,
actuals.hospitalBeds.currentUsageTotal,-0.20081429396075695,0.9153566633815992,0.9176790889321318,0.8383075969384411,0.6941900245283674,0.5577456283217039,0.9884902978839264,1.0,0.6983720526105869,0.9744119963846444,0.9688953207650104,0.6701696352795649,0.18813413207566762,0.8820310681139731,0.8734718368515496,0.8531410467649332,0.27620531648148344,0.8571316367153143,0.2855446029564036,0.5752900362545988,
actuals.hospitalBeds.currentUsageCovid,-0.04358352262789004,0.6572219380678939,0.5514982090914579,0.6123608853199054,0.441280430801036,0.478643918739137,0.6837602377293623,0.6983720526105869,1.0,0.6897035049451032,0.7359622253461271,0.9381123736374427,0.3673409884615726,0.6205818011970329,0.6378469938280386,0.6197424833064483,0.31158990655015,0.6220768857281614,0.1738319425126684,0.9074707441381535,
actuals.icuBeds.capacity,-0.18293885361005555,0.9175267274945219,0.9130332162557834,0.8171605423184903,0.6762960294458442,0.569828373815452,0.9796732495437372,0.9744119963846444,0.6897035049451032,1.0,0.9823779577242022,0.6950699678641189,0.184946057993217,0.8588795920401421,0.8537303431849463,0.8334652587395047,0.27202559047585917,0.8372841926510765,0.2700381391858848,0.5921734202153224,
actuals.icuBeds.currentUsageTotal,-0.21310017493043593,0.9150775035961953,0.9104288239031009,0.793558547584769,0.5975275433117035,0.5444955540886843,0.9723232477790184,0.9688953207650104,0.7359622253461271,0.9823779577242022,1.0,0.7466525732535011,0.20383949704335902,0.821152387425637,0.8088297367261907,0.7833479986940882,0.307282659046531,0.7911380660076996,0.26297338241609125,0.6295144610746872,
actuals.icuBeds.currentUsageCovid,-0.03996883225187294,0.6486315455259904,0.5313300924320477,0.5547668811964271,0.35010133263465026,0.4490875482303011,0.6763421738276868,0.6701696352795649,0.9381123736374427,0.6950699678641189,0.7466525732535011,1.0,0.2853437463176326,0.5367841916388391,0.5634972504736898,0.5431904571345643,0.324226931004504,0.5369753003840925,0.036456811042877874,0.8686126352977881,
actuals.newCases,-0.011808465700883624,0.254851946768255,0.17310289354353753,0.21831255097295374,0.16815258546405343,0.1609926902207058,0.18816069268087582,0.18813413207566762,0.3673409884615726,0.184946057993217,0.20383949704335902,0.2853437463176326,1.0,0.2206180942015241,0.21710982414361923,0.20919111380379998,0.3115816407743515,0.231183463889801,0.25547467137824004,0.36629893658010104,
actuals.vaccinesDistributed,-0.10548598372795119,0.8498348039592232,0.7889353090621074,0.8564715689535313,0.8234442541959394,0.7120023753357334,0.8642327807866077,0.8820310681139731,0.6205818011970329,0.8588795920401421,0.821152387425637,0.5367841916388391,0.2206180942015241,1.0,0.9851612916417182,0.9796449420487375,0.21162521687850738,0.9896490904490828,0.494476379860255,0.4811341157084184,
actuals.vaccinationsInitiated,-0.09438753329857695,0.829528944194762,0.753166019519912,0.8577608734072584,0.8500622301528092,0.7425392060685202,0.8549768585974828,0.8734718368515496,0.6378469938280386,0.8537303431849463,0.8088297367261907,0.5634972504736898,0.21710982414361923,0.9851612916417182,1.0,0.9976830747207951,0.20576650169768468,0.9956018456150971,0.4012662091921071,0.5149504547930143,
actuals.vaccinationsCompleted,-0.08024757377163891,0.8086107332311276,0.7237523787698011,0.8462297277909929,0.8590983051966653,0.7441447098207189,0.8332933603107785,0.8531410467649332,0.6197424833064483,0.8334652587395047,0.7833479986940882,0.5431904571345643,0.20919111380379998,0.9796449420487375,0.9976830747207951,1.0,0.1973508958340648,0.9938761890401178,0.38567363169384233,0.49710556676261813,
actuals.newDeaths,-0.03985698180718547,0.25908156081087724,0.2436386271330984,0.20380000296454498,0.10449179380368988,0.15560028999068656,0.2626570939707072,0.27620531648148344,0.31158990655015,0.27202559047585917,0.307282659046531,0.324226931004504,0.3115816407743515,0.21162521687850738,0.20576650169768468,0.1973508958340648,1.0,0.19545538070494772,0.016841718029485305,0.24445885283308016,
actuals.vaccinesAdministered,-0.0873501975622788,0.8295924982480537,0.7487948792182616,0.8542603399064702,0.8499493543469832,0.735240896604177,0.8384907189276287,0.8571316367153143,0.6220768857281614,0.8372841926510765,0.7911380660076996,0.5369753003840925,0.231183463889801,0.9896490904490828,0.9956018456150971,0.9938761890401178,0.19545538070494772,1.0,0.47787364252156456,0.5022182218844686,
actuals.vaccinationsAdditionalDose,-0.06395965825114162,0.4121256297890364,0.3848999233809949,0.3809653747127769,0.34540559341644056,0.24744745192141007,0.2800581701952439,0.2855446029564036,0.1738319425126684,0.2700381391858848,0.26297338241609125,0.036456811042877874,0.25547467137824004,0.494476379860255,0.4012662091921071,0.38567363169384233,0.016841718029485305,0.47787364252156456,1.0,0.13397236079873096,
actuals.hospitalBeds.weeklyCovidAdmissions,-0.012526732329829057,0.5868637294169511,0.4628376495944075,0.5302303433590234,0.33759561065514093,0.404990724789846,0.5833546648752507,0.5752900362545988,0.9074707441381535,0.5921734202153224,0.6295144610746872,0.8686126352977881,0.36629893658010104,0.4811341157084184,0.5149504547930143,0.49710556676261813,0.24445885283308016,0.5022182218844686,0.13397236079873096,1.0,
Class,,,,,,,,,,,,,,,,,,,,,
